Survey month,Parameter,State and territory,Sex,Classification,Category,Full_time,Full_time_RSE,Part_time,Part_time_RSE,With paid leave entitlements,With paid leave entitlements_RSE,Without paid leave entitlements,Without paid leave entitlements_RSE,Total,Total_RSE,Sub_Category,ParentCategory
2014,Median weekly earnings,Australia,Females,Relationship in household,   Other related individual,1000.0,2.6,454.329,7.2,941.683,5.8,464.533,14.8,770.097,7.8,Other related individual,Family member
2014,Median weekly earnings,Australia,Females,Relationship in household,Non-family member,1150.0,1.2,500.0,4.0,1091.084,1.5,450.0,8.5,999.259,1.2,,Non-family member
2014,Median weekly earnings,Australia,Females,Relationship in household,   Lone person,1221.674,2.1,574.008,5.1,1150.0,1.9,481.499,8.0,1054.394,1.9,Lone person,Non-family member
2014,Median weekly earnings,Australia,Females,Relationship in household,   Not living alone,1000.0,2.5,358.221,9.1,992.197,2.6,374.86,14.2,853.01,3.1,Not living alone,Non-family member
2014,Median weekly earnings,Australia,Females,Relationship in household,Relationship not determined,900.0,26.9,217.486,99.6,900.0,16.8,225.401,58.3,632.824,26.0,,Relationship not determined
2014,Median weekly earnings,NSW,Persons,Relationship in household,Family member,1250.0,1.3,465.19,3.0,1150.0,1.9,400.0,3.3,1000.0,0.8,,Family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,"   Husband, wife or partner",1322.218,1.3,550.0,3.7,1242.278,1.1,520.0,4.9,1120.0,1.5,"Husband, wife or partner",Family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,      With dependants,1400.0,2.7,600.0,3.4,1281.0,1.7,599.096,8.9,1191.996,2.2,With dependants,Family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,      Without dependants,1250.0,2.0,509.853,3.0,1183.543,3.0,500.0,5.6,1057.0,1.9,Without dependants,Family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,   Lone parent,1200.0,5.3,500.0,9.4,1012.412,5.2,334.349,12.8,900.0,5.1,Lone parent,Family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,   Dependent student,833.393,29.3,150.0,8.5,376.995,10.8,144.0,7.1,159.831,7.9,Dependent student,Family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,   Non-dependent child,886.771,3.1,456.359,5.6,833.629,3.1,480.012,9.1,790.064,1.9,Non-dependent child,Family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,   Other related individual,1050.56,7.3,500.0,16.7,1000.0,9.7,597.218,14.7,823.073,7.7,Other related individual,Family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,Non-family member,1212.318,2.7,500.0,6.6,1199.996,2.4,586.713,7.7,1052.0,2.9,,Non-family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,   Lone person,1342.0,2.0,536.561,5.8,1281.0,2.7,567.9,11.3,1162.907,2.6,Lone person,Non-family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,   Not living alone,1067.374,4.0,443.307,23.4,1060.822,3.8,596.737,15.8,967.802,4.5,Not living alone,Non-family member
2014,Median weekly earnings,NSW,Persons,Relationship in household,Relationship not determined,1086.512,60.7,244.468,0.1,1467.288,0.1,686.993,22.5,977.525,71.2,,Relationship not determined
2014,Median weekly earnings,NSW,Males,Relationship in household,Family member,1326.366,1.9,395.317,5.0,1307.745,2.0,500.0,7.0,1200.0,2.0,,Family member
2014,Median weekly earnings,NSW,Males,Relationship in household,"   Husband, wife or partner",1415.463,1.7,499.138,3.9,1400.0,1.7,797.536,9.4,1346.0,1.9,"Husband, wife or partner",Family member
2014,Median weekly earnings,NSW,Males,Relationship in household,      With dependants,1500.0,2.0,480.0,4.6,1500.0,2.0,900.0,7.2,1450.0,2.2,With dependants,Family member
2014,Median weekly earnings,NSW,Males,Relationship in household,      Without dependants,1336.294,2.3,500.0,9.1,1307.322,2.5,600.0,15.1,1250.0,2.0,Without dependants,Family member
2014,Median weekly earnings,NSW,Males,Relationship in household,   Lone parent,1320.886,5.8,423.753,0.1,1321.867,5.8,427.494,0.1,1300.665,8.1,Lone parent,Family member
2014,Median weekly earnings,NSW,Males,Relationship in household,   Dependent student,861.022,0.1,178.662,11.9,447.163,29.8,150.0,13.9,184.369,12.5,Dependent student,Family member
2014,Median weekly earnings,NSW,Males,Relationship in household,   Non-dependent child,890.0,4.5,445.059,6.1,828.782,3.6,555.0,13.6,793.952,4.4,Non-dependent child,Family member
2014,Median weekly earnings,NSW,Males,Relationship in household,   Other related individual,1156.445,8.6,531.461,28.3,1250.284,13.2,836.17,22.2,1040.223,11.5,Other related individual,Family member
2014,Median weekly earnings,NSW,Males,Relationship in household,Non-family member,1203.425,3.1,498.693,12.5,1204.0,3.2,734.76,9.2,1100.0,4.6,,Non-family member
2014,Median weekly earnings,NSW,Males,Relationship in household,   Lone person,1300.0,3.6,416.004,16.5,1303.03,3.8,666.779,17.1,1200.0,6.0,Lone person,Non-family member
2014,Median weekly earnings,NSW,Males,Relationship in household,   Not living alone,1106.945,4.8,563.417,18.1,1099.155,4.7,782.64,12.6,1016.372,6.9,Not living alone,Non-family member
2014,Median weekly earnings,NSW,Males,Relationship in household,Relationship not determined,1269.296,15.5,0.0,0.0,2073.593,0.1,942.254,0.1,1269.296,14.4,,Relationship not determined
