anzsco_code,occupation,education,percentage
1111,Chief Executives and Managing Directors,Post Graduate/ Graduate Diploma or Graduate Certificate ,25.3
1112,General Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,23.6
1113,Legislators,Post Graduate/ Graduate Diploma or Graduate Certificate ,24.2
1211,Aquaculture Farmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.0
1212,Crop Farmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.3
1213,Livestock Farmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.2
1214,Mixed Crop and Livestock Farmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.0
1311,"Advertising, Public Relations and Sales Manager",Post Graduate/ Graduate Diploma or Graduate Certificate ,16.7
1321,Corporate Services Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,20.1
1322,Finance Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,26.8
1323,Human Resource Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,24.8
1324,Policy and Planning Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,39.8
1325,Research and Development Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,47.5
1331,Construction Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.3
1332,Engineering Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,26.6
1333,"Importers, Exporters and Wholesalers",Post Graduate/ Graduate Diploma or Graduate Certificate ,8.4
1334,Manufacturers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.4
1335,Production Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,9.8
1336,"Supply, Distribution and Procurement Managers",Post Graduate/ Graduate Diploma or Graduate Certificate ,14.8
1341,Child Care Centre Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,21.6
1342,Health and Welfare Services Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,28.5
1343,School Principals,Post Graduate/ Graduate Diploma or Graduate Certificate ,43.9
1344,Other Education Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,52.0
1351,ICT Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,26.0
1391,Commissioned Officers (Management),Post Graduate/ Graduate Diploma or Graduate Certificate ,25.2
1392,Senior Non-Commissioned Defence Force Officers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.8
1399,Other Specialist Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,23.4
1411,Cafe and Restaurant Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.2
1412,Caravan Park and Camping Ground Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.4
1413,Hotel and Motel Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.1
1414,Licensed Club Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.3
1419,Other Accommodation and Hospitality Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,9.6
1421,Retail Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.3
1491,"Amusement, Fitness and Sports Centre Managers",Post Graduate/ Graduate Diploma or Graduate Certificate ,5.5
1492,"Call, Contact Centre and Customer Service Managers",Post Graduate/ Graduate Diploma or Graduate Certificate ,9.9
1493,Conference and Event Organisers,Post Graduate/ Graduate Diploma or Graduate Certificate ,8.7
1494,Transport Services Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.0
1499,"Other Hospitality, Retail and Service Managers",Post Graduate/ Graduate Diploma or Graduate Certificate ,9.1
2111,"Actors, Dancers and Other Entertainers",Post Graduate/ Graduate Diploma or Graduate Certificate ,7.3
2112,Music Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,17.8
2113,Photographers,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.5
2114,Visual Arts and Crafts Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,12.6
2121,"Artistic Directors, Media Producers and Presenters",Post Graduate/ Graduate Diploma or Graduate Certificate ,11.2
2122,"Authors, and Book and Script Editors",Post Graduate/ Graduate Diploma or Graduate Certificate ,34.3
2123,"Film, Television, Radio and Stage Directors",Post Graduate/ Graduate Diploma or Graduate Certificate ,10.9
2124,Journalists and Other Writers,Post Graduate/ Graduate Diploma or Graduate Certificate ,21.5
2211,Accountants,Post Graduate/ Graduate Diploma or Graduate Certificate ,29.1
2212,"Auditors, Company Secretaries and Corporate Treasurers",Post Graduate/ Graduate Diploma or Graduate Certificate ,27.7
2221,Financial Brokers,Post Graduate/ Graduate Diploma or Graduate Certificate ,11.4
2222,Financial Dealers,Post Graduate/ Graduate Diploma or Graduate Certificate ,23.8
2223,Financial Investment Advisers and Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,27.9
2231,Human Resource Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,15.0
2232,ICT Trainers,Post Graduate/ Graduate Diploma or Graduate Certificate ,18.6
2233,Training and Development Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,18.4
2241,"Actuaries, Mathematicians and Statisticians",Post Graduate/ Graduate Diploma or Graduate Certificate ,46.2
2242,"Archivists, Curators and Records Managers",Post Graduate/ Graduate Diploma or Graduate Certificate ,35.3
2243,Economists,Post Graduate/ Graduate Diploma or Graduate Certificate ,52.7
2244,Intelligence and Policy Analysts,Post Graduate/ Graduate Diploma or Graduate Certificate ,40.3
2245,Land Economists and Valuers,Post Graduate/ Graduate Diploma or Graduate Certificate ,19.0
2246,Librarians,Post Graduate/ Graduate Diploma or Graduate Certificate ,49.1
2247,Management and Organisation Analysts,Post Graduate/ Graduate Diploma or Graduate Certificate ,33.1
2249,Other Information and Organisation Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,32.0
2251,Advertising and Marketing Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,18.2
2252,ICT Sales Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,16.1
2253,Public Relations Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,19.5
2254,Technical Sales Representatives,Post Graduate/ Graduate Diploma or Graduate Certificate ,10.6
2311,Air Transport Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.6
2312,Marine Transport Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.1
2321,Architects and Landscape Architects,Post Graduate/ Graduate Diploma or Graduate Certificate ,46.1
2322,Surveyors and Spatial Scientists,Post Graduate/ Graduate Diploma or Graduate Certificate ,13.8
2323,"Fashion, Industrial and Jewellery Designers",Post Graduate/ Graduate Diploma or Graduate Certificate ,9.3
2324,"Graphic and Web Designers, and Illustrators",Post Graduate/ Graduate Diploma or Graduate Certificate ,9.3
2325,Interior Designers,Post Graduate/ Graduate Diploma or Graduate Certificate ,8.5
2326,Urban and Regional Planners,Post Graduate/ Graduate Diploma or Graduate Certificate ,37.9
2331,Chemical and Materials Engineers,Post Graduate/ Graduate Diploma or Graduate Certificate ,32.2
2332,Civil Engineering Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,24.8
2333,Electrical Engineers,Post Graduate/ Graduate Diploma or Graduate Certificate ,25.1
2334,Electronics Engineers,Post Graduate/ Graduate Diploma or Graduate Certificate ,29.2
2335,"Industrial, Mechanical and Production Engineers",Post Graduate/ Graduate Diploma or Graduate Certificate ,23.4
2336,Mining Engineers,Post Graduate/ Graduate Diploma or Graduate Certificate ,28.2
2339,Other Engineering Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,32.2
2341,Agricultural and Forestry Scientists,Post Graduate/ Graduate Diploma or Graduate Certificate ,27.3
2342,"Chemists, and Food and Wine Scientists",Post Graduate/ Graduate Diploma or Graduate Certificate ,26.9
2343,Environmental Scientists,Post Graduate/ Graduate Diploma or Graduate Certificate ,29.5
2344,"Geologists, Geophysicists and Hydrogeologists",Post Graduate/ Graduate Diploma or Graduate Certificate ,41.3
2345,Life Scientists,Post Graduate/ Graduate Diploma or Graduate Certificate ,54.3
2346,Medical Laboratory Scientists,Post Graduate/ Graduate Diploma or Graduate Certificate ,44.0
2347,Veterinarians,Post Graduate/ Graduate Diploma or Graduate Certificate ,23.1
2349,Other Natural and Physical Science Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,49.3
2411,Early Childhood (Pre-primary School) Teachers,Post Graduate/ Graduate Diploma or Graduate Certificate ,21.4
2412,Primary School Teachers,Post Graduate/ Graduate Diploma or Graduate Certificate ,24.2
2413,Middle School Teachers,Post Graduate/ Graduate Diploma or Graduate Certificate ,35.9
2414,Secondary School Teachers,Post Graduate/ Graduate Diploma or Graduate Certificate ,41.8
2415,Special Education Teachers,Post Graduate/ Graduate Diploma or Graduate Certificate ,39.9
2421,University Lecturers and Tutors,Post Graduate/ Graduate Diploma or Graduate Certificate ,80.2
2422,Vocational Education Teachers,Post Graduate/ Graduate Diploma or Graduate Certificate ,24.6
2491,Education Advisers and Reviewers,Post Graduate/ Graduate Diploma or Graduate Certificate ,48.0
2492,Private Tutors and Teachers,Post Graduate/ Graduate Diploma or Graduate Certificate ,16.9
2493,Teachers of English to Speakers of Other Languages,Post Graduate/ Graduate Diploma or Graduate Certificate ,56.3
2511,Nutrition Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,49.7
2512,Medical Imaging Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,35.1
2513,Occupational and Environmental Health Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,19.0
2514,Optometrists and Orthoptists,Post Graduate/ Graduate Diploma or Graduate Certificate ,40.8
2515,Pharmacists,Post Graduate/ Graduate Diploma or Graduate Certificate ,23.0
2519,Other Health Diagnostic and Promotion Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,39.1
2521,Chiropractors and Osteopaths,Post Graduate/ Graduate Diploma or Graduate Certificate ,57.1
2522,Complementary Health Therapists,Post Graduate/ Graduate Diploma or Graduate Certificate ,21.5
2523,Dental Practitioners,Post Graduate/ Graduate Diploma or Graduate Certificate ,30.2
2524,Occupational Therapists,Post Graduate/ Graduate Diploma or Graduate Certificate ,26.5
2525,Physiotherapists,Post Graduate/ Graduate Diploma or Graduate Certificate ,38.4
2526,Podiatrists,Post Graduate/ Graduate Diploma or Graduate Certificate ,25.7
2527,Audiologists and Speech Pathologists \ Therapists,Post Graduate/ Graduate Diploma or Graduate Certificate ,44.3
2531,General Practitioners and Resident Medical Officers,Post Graduate/ Graduate Diploma or Graduate Certificate ,39.9
2532,Anaesthetists,Post Graduate/ Graduate Diploma or Graduate Certificate ,50.3
2533,Specialist Physicians,Post Graduate/ Graduate Diploma or Graduate Certificate ,51.2
2534,Psychiatrists,Post Graduate/ Graduate Diploma or Graduate Certificate ,67.5
2535,Surgeons,Post Graduate/ Graduate Diploma or Graduate Certificate ,51.7
2539,Other Medical Practitioners,Post Graduate/ Graduate Diploma or Graduate Certificate ,42.9
2541,Midwives,Post Graduate/ Graduate Diploma or Graduate Certificate ,29.2
2542,Nurse Educators and Researchers,Post Graduate/ Graduate Diploma or Graduate Certificate ,54.3
2543,Nurse Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,38.2
2544,Registered Nurses,Post Graduate/ Graduate Diploma or Graduate Certificate ,20.0
2611,ICT Business and Systems Analysts,Post Graduate/ Graduate Diploma or Graduate Certificate ,29.3
2612,Multimedia Specialists and Web Developers,Post Graduate/ Graduate Diploma or Graduate Certificate ,20.3
2613,Software and Applications Programmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,27.4
2621,"Database and Systems Administrators, and ICT Security Specialists",Post Graduate/ Graduate Diploma or Graduate Certificate ,21.5
2631,Computer Network Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,20.9
2632,ICT Support and Test Engineers,Post Graduate/ Graduate Diploma or Graduate Certificate ,22.1
2633,Telecommunications Engineering Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,26.3
2711,Barristers,Post Graduate/ Graduate Diploma or Graduate Certificate ,37.3
2712,Judicial and Other Legal Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,36.8
2713,Solicitors,Post Graduate/ Graduate Diploma or Graduate Certificate ,32.8
2721,Counsellors,Post Graduate/ Graduate Diploma or Graduate Certificate ,38.7
2722,Ministers of Religion,Post Graduate/ Graduate Diploma or Graduate Certificate ,32.2
2723,Psychologists and Psychotherapists,Post Graduate/ Graduate Diploma or Graduate Certificate ,77.0
2724,Social Professionals,Post Graduate/ Graduate Diploma or Graduate Certificate ,39.2
2725,Social Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,30.2
2726,"Welfare, Recreation and Community Arts Workers",Post Graduate/ Graduate Diploma or Graduate Certificate ,19.0
3111,Agricultural Technicians,Post Graduate/ Graduate Diploma or Graduate Certificate ,11.7
3112,Medical Technicians,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.9
3113,Primary Products Inspectors,Post Graduate/ Graduate Diploma or Graduate Certificate ,8.2
3114,Science Technicians,Post Graduate/ Graduate Diploma or Graduate Certificate ,13.4
3121,"Architectural, Building and Surveying Technicians",Post Graduate/ Graduate Diploma or Graduate Certificate ,6.9
3122,Civil Engineering Draftspersons and Technicians,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.8
3123,"Electrical Engineering Draftspersons, Technicians",Post Graduate/ Graduate Diploma or Graduate Certificate ,4.0
3124,"Electronic Engineering Draftspersons, Technicians",Post Graduate/ Graduate Diploma or Graduate Certificate ,5.7
3125,"Mechanical Engineering Draftspersons, Technicians",Post Graduate/ Graduate Diploma or Graduate Certificate ,5.6
3126,Safety Inspectors,Post Graduate/ Graduate Diploma or Graduate Certificate ,15.1
3129,Other Building and Engineering Technicians,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.0
3131,ICT Support Technicians,Post Graduate/ Graduate Diploma or Graduate Certificate ,13.7
3132,Telecommunications Technical Specialists,Post Graduate/ Graduate Diploma or Graduate Certificate ,11.4
3211,Automotive Electricians,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.5
3212,Motor Mechanics,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.7
3221,"Metal Casting, Forging and Finishing Trades",Post Graduate/ Graduate Diploma or Graduate Certificate ,0.5
3222,Sheetmetal Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.4
3223,Structural Steel and Welding Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.4
3231,Aircraft Maintenance Engineers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.9
3232,Metal Fitters and Machinists,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.5
3233,Precision Metal Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.7
3234,Toolmakers and Engineering Patternmakers,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.1
3241,Panelbeaters,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.2
3242,Vehicle Body Builders and Trimmers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.6
3243,Vehicle Painters,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.2
3311,Bricklayers and Stonemasons,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.4
3312,Carpenters and Joiners,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.5
3321,Floor Finishers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.6
3322,Painting Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.4
3331,Glaziers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.6
3332,Plasterers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.7
3333,Roof Tilers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.4
3334,Wall and Floor Tilers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.8
3341,Plumbers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.2
3411,Electricians,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.6
3421,Airconditioning and Refrigeration Mechanics,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.5
3422,Electrical Distribution Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.2
3423,Electronics Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.4
3424,Telecommunications Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.6
3511,Bakers and Pastrycooks,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.5
3512,Butchers and Smallgoods Makers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.5
3513,Chefs,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.6
3514,Cooks,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.7
3611,Animal Attendants and Trainers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.8
3612,Shearers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.1
3613,Veterinary Nurses,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.3
3621,Florists,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.1
3622,Gardeners,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.7
3623,Greenkeepers,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.1
3624,Nurserypersons,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.4
3911,Hairdressers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.4
3921,Print Finishers and Screen Printers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.9
3922,Graphic Pre-press Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.3
3923,Printers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.2
3931,Canvas and Leather Goods Makers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.0
3932,Clothing Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.9
3933,Upholsterers,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.0
3941,Cabinetmakers,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.8
3942,Wood Machinists and Other Wood Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.6
3991,Boat Builders and Shipwrights,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.9
3992,"Chemical, Gas, Petroleum and Power Plant Operators",Post Graduate/ Graduate Diploma or Graduate Certificate ,1.9
3993,"Gallery, Library and Museum Technicians",Post Graduate/ Graduate Diploma or Graduate Certificate ,13.2
3994,Jewellers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.3
3995,Performing Arts Technicians,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.4
3996,Signwriters,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.2
3999,Other Miscellaneous Technicians and Trades Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.7
4111,Ambulance Officers and Paramedics,Post Graduate/ Graduate Diploma or Graduate Certificate ,9.5
4112,"Dental Hygienists, Technicians and Therapists",Post Graduate/ Graduate Diploma or Graduate Certificate ,3.4
4113,Diversional Therapists,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.8
4114,Enrolled and Mothercraft Nurses,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.9
4115,Indigenous Health Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.7
4116,Massage Therapists,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.9
4117,Welfare Support Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,11.6
4211,Child Carers,Post Graduate/ Graduate Diploma or Graduate Certificate ,16.4
4221,Education Aides,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.9
4231,Aged and Disabled Carers,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.3
4232,Dental Assistants,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.1
4233,Nursing Support and Personal Care Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.6
4234,Special Care Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.4
4311,Bar Attendants and Baristas,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.2
4312,Cafe Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.1
4313,Gaming Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.4
4314,Hotel Service Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.9
4315,Waiters,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.5
4319,Other Hospitality Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.4
4411,Defence Force Members - Other Ranks,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.9
4412,Fire and Emergency Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.4
4413,Police,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.5
4421,Prison Officers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.5
4422,Security Officers and Guards,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.5
4511,Beauty Therapists,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.5
4512,Driving Instructors,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.7
4513,Funeral Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.4
4514,"Gallery, Museum and Tour Guides",Post Graduate/ Graduate Diploma or Graduate Certificate ,13.3
4515,Personal Care Consultants,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.3
4516,Tourism and Travel Advisers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.7
4517,Travel Attendants,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.4
4518,Other Personal Service Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,8.0
4521,Fitness Instructors,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.6
4522,Outdoor Adventure Guides,Post Graduate/ Graduate Diploma or Graduate Certificate ,10.2
4523,"Sports Coaches, Instructors and Officials",Post Graduate/ Graduate Diploma or Graduate Certificate ,4.1
4524,Sportspersons,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.6
5111,"Contract, Program and Project Administrators",Post Graduate/ Graduate Diploma or Graduate Certificate ,19.8
5121,Office Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.6
5122,Practice Managers,Post Graduate/ Graduate Diploma or Graduate Certificate ,11.0
5211,Personal Assistants,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.8
5212,Secretaries,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.0
5311,General Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.4
5321,Keyboard Operators,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.0
5411,Call or Contact Centre Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.4
5412,Information Officers,Post Graduate/ Graduate Diploma or Graduate Certificate ,8.0
5421,Receptionists,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.1
5511,Accounting Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,8.7
5512,Bookkeepers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.1
5513,Payroll Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,8.2
5521,Bank Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,12.3
5522,Credit and Loans Officers,Post Graduate/ Graduate Diploma or Graduate Certificate ,14.0
5523,"Insurance, Money Market and Statistical Clerks",Post Graduate/ Graduate Diploma or Graduate Certificate ,8.8
5611,Betting Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.5
5612,Couriers and Postal Deliverers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.6
5613,Filing and Registry Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.8
5614,Mail Sorters,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.2
5615,Survey Interviewers,Post Graduate/ Graduate Diploma or Graduate Certificate ,14.8
5616,Switchboard Operators,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.1
5619,Other Clerical and Office Support Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.4
5911,Purchasing and Supply Logistics Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.6
5912,Transport and Despatch Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.6
5991,Conveyancers and Legal Executives,Post Graduate/ Graduate Diploma or Graduate Certificate ,8.2
5992,Court and Legal Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.9
5993,Debt Collectors,Post Graduate/ Graduate Diploma or Graduate Certificate ,6.1
5994,Human Resource Clerks,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.7
5995,Inspectors and Regulatory Officers,Post Graduate/ Graduate Diploma or Graduate Certificate ,12.3
5996,"Insurance Investigators, Loss Adjusters and Risk Surveyors",Post Graduate/ Graduate Diploma or Graduate Certificate ,10.1
5997,Library Assistants,Post Graduate/ Graduate Diploma or Graduate Certificate ,10.7
5999,Other Miscellaneous Clerical and Administrative Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,9.8
6111,"Auctioneers, and Stock and Station Agents",Post Graduate/ Graduate Diploma or Graduate Certificate ,1.5
6112,Insurance Agents,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.5
6113,Sales Representatives,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.8
6121,Real Estate Sales Agents,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.7
6211,Sales Assistants (General),Post Graduate/ Graduate Diploma or Graduate Certificate ,3.0
6212,ICT Sales Assistants,Post Graduate/ Graduate Diploma or Graduate Certificate ,10.4
6213,Motor Vehicle and Vehicle Parts Salespersons,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.7
6214,Pharmacy Sales Assistants,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.8
6215,Retail Supervisors,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.2
6216,Service Station Attendants,Post Graduate/ Graduate Diploma or Graduate Certificate ,13.5
6217,Street Vendors and Related Salespersons,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.7
6219,Other Sales Assistants and Salespersons,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.2
6311,Checkout Operators and Office Cashiers,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.4
6391,Models and Sales Demonstrators,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.9
6392,Retail and Wool Buyers,Post Graduate/ Graduate Diploma or Graduate Certificate ,7.1
6393,Telemarketers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.7
6394,Ticket Salespersons,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.6
6395,Visual Merchandisers,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.3
6399,Other Sales Support Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,5.4
7111,"Clay, Concrete, Glass and Stone Processing Machine Operators",Post Graduate/ Graduate Diploma or Graduate Certificate ,1.7
7112,Industrial Spraypainters,Post Graduate/ Graduate Diploma or Graduate Certificate ,0.5
7113,Paper and Wood Processing Machine Operators,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.0
7114,Photographic Developers and Printers,Post Graduate/ Graduate Diploma or Graduate Certificate ,4.2
7115,Plastics and Rubber Production Machine Operators,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.2
7116,Sewing Machinists,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.7
7117,Textile and Footwear Production Machine Operators,Post Graduate/ Graduate Diploma or Graduate Certificate ,2.2
7119,Other Machine Operators,Post Graduate/ Graduate Diploma or Graduate Certificate ,3.8
7121,"Crane, Hoist and Lift Operators",Post Graduate/ Graduate Diploma or Graduate Certificate ,0.5
7122,"Drillers, Miners and Shot Firers",Post Graduate/ Graduate Diploma or Graduate Certificate ,0.6
7123,Engineering Production Workers,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.6
7129,Other Stationary Plant Operators,Post Graduate/ Graduate Diploma or Graduate Certificate ,1.8
7211,"Agricultural, Forestry and Horticultural Plant Operators",Post Graduate/ Graduate Diploma or Graduate Certificate ,0.7
