SAL_CODE21,SAL_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,SHAPE_Leng,SHAPE_Area
20505,Carranballac,2,Victoria,AUS,Australia,104.7408,http://linked.data.gov.au/dataset/asgsed3/SAL/20505,0.617247913309,0.0106985909849
20506,Carron,2,Victoria,AUS,Australia,35.6121,http://linked.data.gov.au/dataset/asgsed3/SAL/20506,0.335682907223,0.00357210838205
20507,Carrum,2,Victoria,AUS,Australia,1.5553,http://linked.data.gov.au/dataset/asgsed3/SAL/20507,0.0576667811282,0.000159712384381
20508,Carrum Downs,2,Victoria,AUS,Australia,20.308,http://linked.data.gov.au/dataset/asgsed3/SAL/20508,0.233421973188,0.00208564860424
20509,Carwarp,2,Victoria,AUS,Australia,705.9016,http://linked.data.gov.au/dataset/asgsed3/SAL/20509,1.39966382139,0.069311971942
20510,Cashmore,2,Victoria,AUS,Australia,36.3581,http://linked.data.gov.au/dataset/asgsed3/SAL/20510,0.34601599537,0.00374486490025
20511,Cassilis (Vic.),2,Victoria,AUS,Australia,12.5914,http://linked.data.gov.au/dataset/asgsed3/SAL/20511,0.175310798522,0.00127805444578
20512,Castella,2,Victoria,AUS,Australia,17.3122,http://linked.data.gov.au/dataset/asgsed3/SAL/20512,0.297342897506,0.0017644785241
20513,Casterton,2,Victoria,AUS,Australia,226.7871,http://linked.data.gov.au/dataset/asgsed3/SAL/20513,1.13626011571,0.0231398597726
20514,Castle Creek (Vic.),2,Victoria,AUS,Australia,18.0021,http://linked.data.gov.au/dataset/asgsed3/SAL/20514,0.252453687847,0.00180353657862
20515,Castle Donnington,2,Victoria,AUS,Australia,45.9469,http://linked.data.gov.au/dataset/asgsed3/SAL/20515,0.3429600772,0.00456023318079
20516,Castlemaine,2,Victoria,AUS,Australia,19.8114,http://linked.data.gov.au/dataset/asgsed3/SAL/20516,0.246087734126,0.00200710110121
20517,Catani,2,Victoria,AUS,Australia,34.1766,http://linked.data.gov.au/dataset/asgsed3/SAL/20517,0.345404691001,0.00351480227522
20518,Cathcart (Vic.),2,Victoria,AUS,Australia,34.0799,http://linked.data.gov.au/dataset/asgsed3/SAL/20518,0.332829974183,0.00346384644777
20519,Cathkin,2,Victoria,AUS,Australia,24.7636,http://linked.data.gov.au/dataset/asgsed3/SAL/20519,0.35475389408,0.0025119013716
20520,Catumnal,2,Victoria,AUS,Australia,42.787,http://linked.data.gov.au/dataset/asgsed3/SAL/20520,0.298708374886,0.00428089149323
20521,Caulfield,2,Victoria,AUS,Australia,1.4701,http://linked.data.gov.au/dataset/asgsed3/SAL/20521,0.0570443516296,0.000150573860024
20522,Caulfield East,2,Victoria,AUS,Australia,1.2587,http://linked.data.gov.au/dataset/asgsed3/SAL/20522,0.043788946612,0.000128880325875
20523,Caulfield North,2,Victoria,AUS,Australia,4.2015,http://linked.data.gov.au/dataset/asgsed3/SAL/20523,0.0904365664883,0.00043026766069
20524,Caulfield South,2,Victoria,AUS,Australia,3.2725,http://linked.data.gov.au/dataset/asgsed3/SAL/20524,0.0751517538126,0.00033515339466
20525,Caveat,2,Victoria,AUS,Australia,63.7744,http://linked.data.gov.au/dataset/asgsed3/SAL/20525,0.454251161976,0.00646079209647
20526,Cavendish,2,Victoria,AUS,Australia,292.3571,http://linked.data.gov.au/dataset/asgsed3/SAL/20526,1.0137161406,0.0297893687574
20527,Ceres,2,Victoria,AUS,Australia,12.4164,http://linked.data.gov.au/dataset/asgsed3/SAL/20527,0.155934175143,0.00127641637194
20528,Chadstone,2,Victoria,AUS,Australia,3.1201,http://linked.data.gov.au/dataset/asgsed3/SAL/20528,0.0756421353839,0.000319523215661
20529,Chandlers Creek,2,Victoria,AUS,Australia,356.6811,http://linked.data.gov.au/dataset/asgsed3/SAL/20529,0.930461539913,0.0362599015108
20530,Chapel Flat,2,Victoria,AUS,Australia,5.1177,http://linked.data.gov.au/dataset/asgsed3/SAL/20530,0.116081684042,0.000521331475474
20531,Chapple Vale,2,Victoria,AUS,Australia,69.8152,http://linked.data.gov.au/dataset/asgsed3/SAL/20531,0.607685087522,0.00722331522894
20532,Charam,2,Victoria,AUS,Australia,139.4406,http://linked.data.gov.au/dataset/asgsed3/SAL/20532,0.513856389322,0.0141071707894
20533,Charlemont,2,Victoria,AUS,Australia,10.829,http://linked.data.gov.au/dataset/asgsed3/SAL/20533,0.192871248661,0.00111388113486
20534,Charleroi,2,Victoria,AUS,Australia,41.8293,http://linked.data.gov.au/dataset/asgsed3/SAL/20534,0.383753023112,0.00419726903469
20535,Charlton (Vic.),2,Victoria,AUS,Australia,244.5953,http://linked.data.gov.au/dataset/asgsed3/SAL/20535,0.807720659605,0.0245368740868
20536,Chatsworth (Vic.),2,Victoria,AUS,Australia,93.8231,http://linked.data.gov.au/dataset/asgsed3/SAL/20536,0.702734488663,0.00960423155063
20537,Chelsea,2,Victoria,AUS,Australia,2.6247,http://linked.data.gov.au/dataset/asgsed3/SAL/20537,0.0715091185938,0.000269444071217
20538,Chelsea Heights,2,Victoria,AUS,Australia,3.1958,http://linked.data.gov.au/dataset/asgsed3/SAL/20538,0.0770660126412,0.000327951059612
20539,Cheltenham (Vic.),2,Victoria,AUS,Australia,10.5172,http://linked.data.gov.au/dataset/asgsed3/SAL/20539,0.192190463834,0.00107822213539
20540,Chepstowe,2,Victoria,AUS,Australia,56.9908,http://linked.data.gov.au/dataset/asgsed3/SAL/20540,0.363849877936,0.00581446894531
20541,Cherokee,2,Victoria,AUS,Australia,10.7562,http://linked.data.gov.au/dataset/asgsed3/SAL/20541,0.180075244388,0.00109449240329
20542,Cherrypool,2,Victoria,AUS,Australia,57.4885,http://linked.data.gov.au/dataset/asgsed3/SAL/20542,0.491249712032,0.00582946332247
20543,Cheshunt,2,Victoria,AUS,Australia,160.8619,http://linked.data.gov.au/dataset/asgsed3/SAL/20543,0.724314026983,0.0162518797401
20544,Cheshunt South,2,Victoria,AUS,Australia,54.2982,http://linked.data.gov.au/dataset/asgsed3/SAL/20544,0.486256162457,0.00549126572242
20545,Chesney Vale,2,Victoria,AUS,Australia,49.2423,http://linked.data.gov.au/dataset/asgsed3/SAL/20545,0.356724871807,0.00494759668994
20546,Chetwynd,2,Victoria,AUS,Australia,280.5214,http://linked.data.gov.au/dataset/asgsed3/SAL/20546,1.01049252844,0.0285069802758
20547,Chewton,2,Victoria,AUS,Australia,24.0383,http://linked.data.gov.au/dataset/asgsed3/SAL/20547,0.268947594822,0.00243645708268
20548,Chewton Bushlands,2,Victoria,AUS,Australia,1.4767,http://linked.data.gov.au/dataset/asgsed3/SAL/20548,0.0590655513094,0.000149639038023
20549,Childers (Vic.),2,Victoria,AUS,Australia,21.7539,http://linked.data.gov.au/dataset/asgsed3/SAL/20549,0.347314665725,0.00224046308984
20550,Chillingollah,2,Victoria,AUS,Australia,35.8916,http://linked.data.gov.au/dataset/asgsed3/SAL/20550,0.290047983145,0.00355571898515
20551,Chiltern,2,Victoria,AUS,Australia,200.26,http://linked.data.gov.au/dataset/asgsed3/SAL/20551,0.884278168645,0.0200670087739
20552,Chiltern Valley,2,Victoria,AUS,Australia,21.838,http://linked.data.gov.au/dataset/asgsed3/SAL/20552,0.23926957053,0.00218681039526
20553,Chinangin,2,Victoria,AUS,Australia,61.5411,http://linked.data.gov.au/dataset/asgsed3/SAL/20553,0.361984675641,0.00611537953943
20554,Chinkapook,2,Victoria,AUS,Australia,207.729,http://linked.data.gov.au/dataset/asgsed3/SAL/20554,0.659106545552,0.0205570731873
20555,Chintin,2,Victoria,AUS,Australia,28.0889,http://linked.data.gov.au/dataset/asgsed3/SAL/20555,0.281189071857,0.0028580894904
20556,Chirnside Park,2,Victoria,AUS,Australia,22.2024,http://linked.data.gov.au/dataset/asgsed3/SAL/20556,0.234326395081,0.0022694813836
20557,Chirrip,2,Victoria,AUS,Australia,36.043,http://linked.data.gov.au/dataset/asgsed3/SAL/20557,0.312735307762,0.00361021712398
20558,Chocolyn,2,Victoria,AUS,Australia,18.604,http://linked.data.gov.au/dataset/asgsed3/SAL/20558,0.271558283896,0.00191346627243
20559,Christmas Hills (Vic.),2,Victoria,AUS,Australia,49.7721,http://linked.data.gov.au/dataset/asgsed3/SAL/20559,0.52479239065,0.00508211176758
20560,Chum Creek,2,Victoria,AUS,Australia,22.4874,http://linked.data.gov.au/dataset/asgsed3/SAL/20560,0.256071895547,0.00229452697773
20561,Churchill (Vic.),2,Victoria,AUS,Australia,21.4535,http://linked.data.gov.au/dataset/asgsed3/SAL/20561,0.238302721662,0.00220992457739
20562,Churchill Island,2,Victoria,AUS,Australia,0.5622,http://linked.data.gov.au/dataset/asgsed3/SAL/20562,0.0507267359933,5.8059637931e-05
20563,Chute,2,Victoria,AUS,Australia,36.9318,http://linked.data.gov.au/dataset/asgsed3/SAL/20563,0.400625186254,0.00375368988129
20564,Clarendon (Vic.),2,Victoria,AUS,Australia,14.759,http://linked.data.gov.au/dataset/asgsed3/SAL/20564,0.208141325703,0.00150787932929
20565,Claretown,2,Victoria,AUS,Australia,6.751,http://linked.data.gov.au/dataset/asgsed3/SAL/20565,0.124910096791,0.000688064191918
20566,Clarinda,2,Victoria,AUS,Australia,3.5092,http://linked.data.gov.au/dataset/asgsed3/SAL/20566,0.0904197293473,0.000359691927963
