anzsco_code,occupation,industry,industry_code
8419,"Other Farm, Forestry and Garden Workers",Administrative and Support Services,N
8419,"Other Farm, Forestry and Garden Workers","Agriculture, Forestry and Fishing",A
8419,"Other Farm, Forestry and Garden Workers",Public Administration and Safety,O
8511,Fast Food Cooks,Accommodation and Food Services,H
8512,Food Trades Assistants,Retail Trade,G
8512,Food Trades Assistants,Manufacturing,C
8512,Food Trades Assistants,Accommodation and Food Services,H
8513,Kitchenhands,Accommodation and Food Services,H
8513,Kitchenhands,Health Care and Social Assistance,Q
8911,Freight and Furniture Handlers,"Transport, Postal and Warehousing",I
8911,Freight and Furniture Handlers,Retail Trade,G
8911,Freight and Furniture Handlers,Manufacturing,C
8912,Shelf Fillers,Retail Trade,G
8991,Caretakers,Education and Training,P
8991,Caretakers,Construction,E
8991,Caretakers,Accommodation and Food Services,H
8992,Deck and Fishing Hands,"Agriculture, Forestry and Fishing",A
8992,Deck and Fishing Hands,"Transport, Postal and Warehousing",I
8992,Deck and Fishing Hands,Public Administration and Safety,O
8993,Handypersons,Construction,E
8993,Handypersons,Health Care and Social Assistance,Q
8993,Handypersons,Administrative and Support Services,N
8994,Motor Vehicle Parts and Accessories Fitters,Other Services,S
8994,Motor Vehicle Parts and Accessories Fitters,Retail Trade,G
8994,Motor Vehicle Parts and Accessories Fitters,Manufacturing,C
8995,Printing Assistants and Table Workers,Manufacturing,C
8995,Printing Assistants and Table Workers,Wholesale Trade,F
8995,Printing Assistants and Table Workers,Health Care and Social Assistance,Q
8996,Recycling and Rubbish Collectors,"Electricity, Gas, Water and Waste Services",D
8996,Recycling and Rubbish Collectors,Public Administration and Safety,O
8996,Recycling and Rubbish Collectors,Wholesale Trade,F
8997,Vending Machine Attendants,Accommodation and Food Services,H
8997,Vending Machine Attendants,Arts and Recreation Services,R
8999,Other Miscellaneous Labourers,Public Administration and Safety,O
8999,Other Miscellaneous Labourers,Construction,E
8999,Other Miscellaneous Labourers,"Transport, Postal and Warehousing",I
111211,Corporate General Managers,Health Care and Social Assistance,Q
111211,Corporate General Managers,"Professional, Scientific and Technical Services",M
111211,Corporate General Managers,Manufacturing,C
111212,Defence Force Senior Officers,Public Administration and Safety,O
111311,Local Government Legislators,Public Administration and Safety,O
111311,Local Government Legislators,Health Care and Social Assistance,Q
111312,Members of Parliament,Public Administration and Safety,O
111399,Other Legislators,Public Administration and Safety,O
111399,Other Legislators,Other Services,S
111399,Other Legislators,Health Care and Social Assistance,Q
121211,Cotton Growers,"Agriculture, Forestry and Fishing",A
121212,Flower Growers,"Agriculture, Forestry and Fishing",A
121213,Fruit and Nut Growers,"Agriculture, Forestry and Fishing",A
121214,"Grain, Oilseed and Pasture Growers","Agriculture, Forestry and Fishing",A
121215,Grape Growers,"Agriculture, Forestry and Fishing",A
121215,Grape Growers,Manufacturing,C
121216,Mixed Crop Farmers,"Agriculture, Forestry and Fishing",A
121217,Sugar Cane Growers,"Agriculture, Forestry and Fishing",A
121218,Turf Growers,"Agriculture, Forestry and Fishing",A
121221,Vegetable Growers,"Agriculture, Forestry and Fishing",A
121299,Other Crop Farmers,"Agriculture, Forestry and Fishing",A
121299,Other Crop Farmers,Wholesale Trade,F
121311,Beekeepers,"Agriculture, Forestry and Fishing",A
121312,Beef Cattle Farmers,"Agriculture, Forestry and Fishing",A
121313,Dairy Cattle Farmers,"Agriculture, Forestry and Fishing",A
121315,Goat Farmers,"Agriculture, Forestry and Fishing",A
121316,Horse Breeders,"Agriculture, Forestry and Fishing",A
121316,Horse Breeders,Arts and Recreation Services,R
121317,Mixed Livestock Farmers,"Agriculture, Forestry and Fishing",A
121318,Pig Farmers,"Agriculture, Forestry and Fishing",A
121318,Pig Farmers,Manufacturing,C
121321,Poultry Farmers,"Agriculture, Forestry and Fishing",A
121321,Poultry Farmers,Manufacturing,C
121322,Sheep Farmers,"Agriculture, Forestry and Fishing",A
121399,Other Livestock Farmers,"Agriculture, Forestry and Fishing",A
121399,Other Livestock Farmers,Other Services,S
131112,Sales and Marketing Managers,"Professional, Scientific and Technical Services",M
131112,Sales and Marketing Managers,Wholesale Trade,F
131112,Sales and Marketing Managers,Retail Trade,G
131113,Advertising Managers,"Professional, Scientific and Technical Services",M
131113,Advertising Managers,Information Media and Telecommunications,J
131114,Public Relations Managers,Public Administration and Safety,O
131114,Public Relations Managers,"Professional, Scientific and Technical Services",M
131114,Public Relations Managers,Financial and Insurance Services,K
133111,Construction Project Managers,Construction,E
133111,Construction Project Managers,"Professional, Scientific and Technical Services",M
133111,Construction Project Managers,Public Administration and Safety,O
133112,Project Builders,Construction,E
133311,Importers and Exporters,Wholesale Trade,F
133311,Importers and Exporters,"Transport, Postal and Warehousing",I
133311,Importers and Exporters,Retail Trade,G
133312,Wholesalers,Wholesale Trade,F
133312,Wholesalers,Retail Trade,G
133511,Forest Managers,"Agriculture, Forestry and Fishing",A
133511,Forest Managers,Public Administration and Safety,O
133511,Forest Managers,Manufacturing,C
133512,Manufacturing Production Managers,Manufacturing,C
133512,Manufacturing Production Managers,Construction,E
133513,Mine Managers,Mining,B
133513,Mine Managers,"Professional, Scientific and Technical Services",M
133513,Mine Managers,Manufacturing,C
133611,Supply and Distribution Managers,"Transport, Postal and Warehousing",I
133611,Supply and Distribution Managers,Manufacturing,C
133611,Supply and Distribution Managers,Wholesale Trade,F
133612,Procurement Managers,Manufacturing,C
133612,Procurement Managers,Public Administration and Safety,O
133612,Procurement Managers,Wholesale Trade,F
134211,Medical Administrators,Health Care and Social Assistance,Q
134212,Nursing Clinical Directors,Health Care and Social Assistance,Q
134213,Primary Health Organisation Managers,Health Care and Social Assistance,Q
134213,Primary Health Organisation Managers,Public Administration and Safety,O
134214,Welfare Centre Managers,Health Care and Social Assistance,Q
134214,Welfare Centre Managers,Public Administration and Safety,O
134299,Other Health and Welfare Services Managers,Health Care and Social Assistance,Q
134299,Other Health and Welfare Services Managers,Public Administration and Safety,O
134411,Faculty Heads,Education and Training,P
134412,Regional Education Managers,Education and Training,P
134412,Regional Education Managers,Public Administration and Safety,O
134499,Education Managers (not covered elsewhere),Education and Training,P
135111,Chief Information Officers,"Professional, Scientific and Technical Services",M
135111,Chief Information Officers,Financial and Insurance Services,K
135111,Chief Information Officers,Information Media and Telecommunications,J
135112,ICT Project Managers,"Professional, Scientific and Technical Services",M
135112,ICT Project Managers,Public Administration and Safety,O
135112,ICT Project Managers,Financial and Insurance Services,K
135199,Other ICT Managers,"Professional, Scientific and Technical Services",M
135199,Other ICT Managers,Financial and Insurance Services,K
135199,Other ICT Managers,Information Media and Telecommunications,J
139111,Commissioned Defence Force Officers,Public Administration and Safety,O
139112,Commissioned Fire Officers,Public Administration and Safety,O
139113,Commissioned Police Officers,Public Administration and Safety,O
139911,Arts Administrators and Managers,Arts and Recreation Services,R
139911,Arts Administrators and Managers,Public Administration and Safety,O
139911,Arts Administrators and Managers,Education and Training,P
139912,Environmental Managers,Public Administration and Safety,O
139912,Environmental Managers,"Professional, Scientific and Technical Services",M
139912,Environmental Managers,Construction,E
139913,Laboratory Managers,"Professional, Scientific and Technical Services",M
139913,Laboratory Managers,Education and Training,P
139913,Laboratory Managers,Health Care and Social Assistance,Q
139914,Quality Assurance Managers,Manufacturing,C
139914,Quality Assurance Managers,Health Care and Social Assistance,Q
139914,Quality Assurance Managers,Financial and Insurance Services,K
139915,Sports Administrators,Arts and Recreation Services,R
139915,Sports Administrators,Education and Training,P
139915,Sports Administrators,Public Administration and Safety,O
139999,Specialist Managers (not covered elsewhere),Public Administration and Safety,O
139999,Specialist Managers (not covered elsewhere),Financial and Insurance Services,K
139999,Specialist Managers (not covered elsewhere),"Electricity, Gas, Water and Waste Services",D
141911,Bed and Breakfast Operators,Accommodation and Food Services,H
141911,Bed and Breakfast Operators,Administrative and Support Services,N
141912,Retirement Village Managers,Health Care and Social Assistance,Q
141912,Retirement Village Managers,"Rental, Hiring and Real Estate Services",L
141999,Accommodation and Hospitality Managers (not covered elsewhere),Accommodation and Food Services,H
141999,Accommodation and Hospitality Managers (not covered elsewhere),Education and Training,P
141999,Accommodation and Hospitality Managers (not covered elsewhere),Health Care and Social Assistance,Q
142111,Retail Managers (General),Retail Trade,G
142111,Retail Managers (General),Accommodation and Food Services,H
142112,Antique Dealers,Retail Trade,G
142113,Betting Agency Managers,Arts and Recreation Services,R
142113,Betting Agency Managers,Accommodation and Food Services,H
142114,Hair and Beauty Salon Managers,Other Services,S
142115,Post Office Managers,"Transport, Postal and Warehousing",I
142116,Travel Agency Managers,Administrative and Support Services,N
142116,Travel Agency Managers,"Transport, Postal and Warehousing",I
149111,Amusement Centre Managers,Arts and Recreation Services,R
149111,Amusement Centre Managers,Accommodation and Food Services,H
149112,Fitness Centre Managers,Arts and Recreation Services,R
149112,Fitness Centre Managers,Other Services,S
149113,Sports Centre Managers,Arts and Recreation Services,R
149113,Sports Centre Managers,Education and Training,P
149113,Sports Centre Managers,Public Administration and Safety,O
149211,Call Centre or Contact Centre Managers,Construction,E
149211,Call Centre or Contact Centre Managers,Financial and Insurance Services,K
149211,Call Centre or Contact Centre Managers,Administrative and Support Services,N
149212,Customer Service Managers,Retail Trade,G
149212,Customer Service Managers,Financial and Insurance Services,K
149212,Customer Service Managers,"Professional, Scientific and Technical Services",M
149411,Fleet Managers,"Transport, Postal and Warehousing",I
149411,Fleet Managers,Public Administration and Safety,O
149411,Fleet Managers,"Rental, Hiring and Real Estate Services",L
