anzsco_code,occupation,industry,industry_code
231114,Helicopter Pilots,"Transport, Postal and Warehousing",I
231114,Helicopter Pilots,Public Administration and Safety,O
231114,Helicopter Pilots,"Agriculture, Forestry and Fishing",A
231199,Other Air Transport Professionals,"Transport, Postal and Warehousing",I
231199,Other Air Transport Professionals,Public Administration and Safety,O
231211,Master Fishers,"Agriculture, Forestry and Fishing",A
231211,Master Fishers,"Transport, Postal and Warehousing",I
231212,Marine Engineers,"Transport, Postal and Warehousing",I
231212,Marine Engineers,Public Administration and Safety,O
231212,Marine Engineers,Manufacturing,C
231213,Ship's Masters,"Transport, Postal and Warehousing",I
231214,Ship's Officers,"Transport, Postal and Warehousing",I
231214,Ship's Officers,Public Administration and Safety,O
231215,Marine Surveyors,"Professional, Scientific and Technical Services",M
231215,Marine Surveyors,"Transport, Postal and Warehousing",I
231215,Marine Surveyors,Public Administration and Safety,O
231299,Other Marine Transport Professionals,"Transport, Postal and Warehousing",I
231299,Other Marine Transport Professionals,Public Administration and Safety,O
232111,Architects,"Professional, Scientific and Technical Services",M
232111,Architects,Construction,E
232112,Landscape Architects,"Professional, Scientific and Technical Services",M
232112,Landscape Architects,Construction,E
232112,Landscape Architects,Public Administration and Safety,O
232212,Surveyors,"Professional, Scientific and Technical Services",M
232212,Surveyors,Construction,E
232212,Surveyors,Mining,B
232213,Cartographers,Public Administration and Safety,O
232213,Cartographers,"Professional, Scientific and Technical Services",M
232213,Cartographers,Mining,B
232214,Other Spatial Scientists,Public Administration and Safety,O
232214,Other Spatial Scientists,"Professional, Scientific and Technical Services",M
232214,Other Spatial Scientists,"Electricity, Gas, Water and Waste Services",D
232311,Fashion Designers,Retail Trade,G
232311,Fashion Designers,"Professional, Scientific and Technical Services",M
232311,Fashion Designers,Manufacturing,C
232312,Industrial Designers,"Professional, Scientific and Technical Services",M
232312,Industrial Designers,Manufacturing,C
232312,Industrial Designers,Retail Trade,G
232313,Jewellery Designers,"Professional, Scientific and Technical Services",M
232313,Jewellery Designers,Retail Trade,G
232313,Jewellery Designers,Manufacturing,C
232411,Graphic Designers,"Professional, Scientific and Technical Services",M
232411,Graphic Designers,Manufacturing,C
232411,Graphic Designers,Information Media and Telecommunications,J
232412,Illustrators (including Animators),Information Media and Telecommunications,J
232412,Illustrators (including Animators),Arts and Recreation Services,R
232412,Illustrators (including Animators),"Professional, Scientific and Technical Services",M
232413,Multimedia Designers,"Professional, Scientific and Technical Services",M
232413,Multimedia Designers,Education and Training,P
232413,Multimedia Designers,Information Media and Telecommunications,J
232414,Web Designers,"Professional, Scientific and Technical Services",M
232414,Web Designers,Retail Trade,G
232414,Web Designers,Education and Training,P
233111,Chemical Engineers,Manufacturing,C
233111,Chemical Engineers,"Professional, Scientific and Technical Services",M
233111,Chemical Engineers,Mining,B
233112,Materials Engineers,"Professional, Scientific and Technical Services",M
233112,Materials Engineers,Manufacturing,C
233112,Materials Engineers,Mining,B
233211,Civil Engineers,Construction,E
233211,Civil Engineers,"Professional, Scientific and Technical Services",M
