Survey month,State and territory,Leave entitlements,Industry,Classification,Category,Persons Weekly Earnings,Persons Weekly Earnings_RSE,Persons Hourly Earnings,Persons Hourly Earnings_RSE,Persons Employees 000,Persons Employees 000_RSE,Males Weekly Earnings,Males Weekly Earnings_RSE,Males Hourly Earnings,Males Hourly Earnings_RSE,Males Employees 000,Males Employees 000_RSE,Females Weekly Earnings,Females Weekly Earnings_RSE,Females Hourly Earnings,Females Hourly Earnings_RSE,Females Employees 000,Females Employees_RSE,Sub_Category,ParentCategory,Industry_Code
2014,Australia,With leave entitlements,"Transport, postal and warehousing",Mean earnings,Full-time,1586.556,3.971,39.936,3.999,0,0,1671.831,4.835,41.183,5.013,0,0,1269.057,8.932,35.291,9.224,0,0,,Full-time,I
2014,Australia,With leave entitlements,"Transport, postal and warehousing",Mean earnings,Part-time,737.496,12.217,34.175,13.691,0,0,663.774,17.561,32.146,25.408,0,0,782.818,16.849,35.445,17.86,0,0,,Part-time,I
2014,Australia,With leave entitlements,"Transport, postal and warehousing",Mean earnings,Total,1485.667,3.909,39.258,3.643,0,0,1610.192,4.704,40.631,4.758,0,0,1131.518,7.988,35.334,8.593,0,0,,Total,I
2014,Australia,With leave entitlements,Information Media and telecommunications,Mean earnings,Full-time,1713.809,7.849,44.987,7.912,0,0,1813.593,9.13,46.121,8.828,0,0,1500.19,12.595,42.573,11.772,0,0,,Full-time,J
2014,Australia,With leave entitlements,Information Media and telecommunications,Mean earnings,Part-time,834.434,21.476,33.524,20.89,0,0,716.633,39.015,29.055,36.779,0,0,873.422,26.685,35.003,25.077,0,0,,Part-time,J
2014,Australia,With leave entitlements,Information Media and telecommunications,Mean earnings,Total,1622.736,7.494,43.796,7.358,0,0,1769.229,9.107,45.428,8.7,0,0,1365.92,10.608,40.951,9.461,0,0,,Total,J
2014,Australia,With leave entitlements,Financial and insurance services,Mean earnings,Full-time,1776.716,5.477,47.352,4.628,0,0,2059.346,7.011,53.352,6.671,0,0,1465.45,8.236,40.741,7.276,0,0,,Full-time,K
2014,Australia,With leave entitlements,Financial and insurance services,Mean earnings,Part-time,825.992,13.111,37.524,11.212,0,0,597.584,38.668,35.317,43.224,0,0,847.208,13.842,37.729,11.528,0,0,,Part-time,K
2014,Australia,With leave entitlements,Financial and insurance services,Mean earnings,Total,1655,5.227,46.094,4.298,0,0,2025.351,6.94,52.933,6.523,0,0,1329.345,7.213,40.077,6.062,0,0,,Total,K
2014,Australia,With leave entitlements,"Rental, hiring and real estate services",Mean earnings,Full-time,1442.527,8.726,35.186,8.525,0,0,1845.713,13.772,42.59,13.128,0,0,1124.202,10.069,29.29,9.647,0,0,,Full-time,L
2014,Australia,With leave entitlements,"Rental, hiring and real estate services",Mean earnings,Part-time,686.336,21.033,30.803,21.273,0,0,629.987,48.461,27.612,52.686,0,0,690.454,22.154,31.037,22.774,0,0,,Part-time,L
2014,Australia,With leave entitlements,"Rental, hiring and real estate services",Mean earnings,Total,1368.831,8.38,34.757,7.837,0,0,1825.782,13.693,42.345,12.964,0,0,1058.013,9.335,29.558,8.639,0,0,,Total,L
2014,Australia,With leave entitlements,"Professional, scientific and technical services",Mean earnings,Full-time,1724.259,4.136,46.267,4.361,0,0,1931.512,4.013,50.408,4.07,0,0,1422.118,6.362,40.192,6.542,0,0,,Full-time,M
2014,Australia,With leave entitlements,"Professional, scientific and technical services",Mean earnings,Part-time,1033.398,12.577,46.226,13.712,0,0,1413.568,26.464,56.371,22.598,0,0,931.497,12.615,43.506,16.041,0,0,,Part-time,M
2014,Australia,With leave entitlements,"Professional, scientific and technical services",Mean earnings,Total,1644.412,3.932,46.262,4.212,0,0,1908.463,3.983,50.674,4.164,0,0,1322.961,5.977,40.867,6.567,0,0,,Total,M
2014,Australia,With leave entitlements,Administrative and support services,Mean earnings,Full-time,1291.298,5.961,34.173,6.179,0,0,1365.048,8.889,35.136,9.14,0,0,1217.644,8.314,33.211,8.4,0,0,,Full-time,N
2014,Australia,With leave entitlements,Administrative and support services,Mean earnings,Part-time,659.928,23.846,33.762,21.77,0,0,486.369,25.756,26.009,28.87,0,0,734.89,30.132,37.111,27.611,0,0,,Part-time,N
2014,Australia,With leave entitlements,Administrative and support services,Mean earnings,Total,1152.538,6.612,34.083,7.138,0,0,1237.351,8.555,33.81,8.456,0,0,1081.401,10.828,34.312,12.232,0,0,,Total,N
2014,Australia,With leave entitlements,Public administration and safety,Mean earnings,Full-time,1567.221,3.304,43.876,3.66,0,0,1621.91,4.638,44.438,4.896,0,0,1496.937,4.23,43.152,5.098,0,0,,Full-time,O
2014,Australia,With leave entitlements,Public administration and safety,Mean earnings,Part-time,892.062,8.769,40.436,7.897,0,0,904.152,25.018,38.41,19.683,0,0,889.895,7.827,40.796,7.242,0,0,,Part-time,O
2014,Australia,With leave entitlements,Public administration and safety,Mean earnings,Total,1465.99,3.196,43.36,3.308,0,0,1589.251,4.624,44.166,4.887,0,0,1342.305,3.974,42.551,4.285,0,0,,Total,O
2014,Australia,With leave entitlements,Education and training,Mean earnings,Full-time,1511.946,3.354,44.999,3.384,0,0,1692.357,5.402,49.178,4.829,0,0,1405.893,4.34,42.548,4.241,0,0,,Full-time,P
2014,Australia,With leave entitlements,Education and training,Mean earnings,Part-time,755.734,5.46,38.863,5.524,0,0,925.759,18.446,45.085,15.488,0,0,731.927,5.947,37.992,6.053,0,0,,Part-time,P
2014,Australia,With leave entitlements,Education and training,Mean earnings,Total,1290.973,3.18,43.203,3.185,0,0,1600.006,5.191,48.684,4.727,0,0,1159.836,3.942,40.883,3.817,0,0,,Total,P
2014,Australia,With leave entitlements,Health care and social assistance,Mean earnings,Full-time,1346.917,3.346,37.312,3.627,0,0,1592.72,6.805,43.357,7.271,0,0,1255.775,2.977,35.07,3.142,0,0,,Full-time,Q
2014,Australia,With leave entitlements,Health care and social assistance,Mean earnings,Part-time,809.573,3.843,35.374,3.693,0,0,914.427,17.47,37.774,15.707,0,0,796.446,3.878,35.073,3.548,0,0,,Part-time,Q
2014,Australia,With leave entitlements,Health care and social assistance,Mean earnings,Total,1131.644,2.994,36.535,2.882,0,0,1446.447,6.053,42.153,6.171,0,0,1049.618,2.637,35.071,2.372,0,0,,Total,Q
2014,Australia,With leave entitlements,Arts and recreation services,Mean earnings,Full-time,1350.547,11.426,37.172,11.385,0,0,1427.795,14.287,39.479,14.321,0,0,1221.71,12.404,33.325,12.51,0,0,,Full-time,R
2014,Australia,With leave entitlements,Arts and recreation services,Mean earnings,Part-time,653.275,20.342,27.56,18.902,0,0,782.559,32.409,29.298,32.674,0,0,560.335,28.073,26.312,26.331,0,0,,Part-time,R
2014,Australia,With leave entitlements,Arts and recreation services,Mean earnings,Total,1221.337,10.313,35.391,9.873,0,0,1342.58,13.186,38.134,13.158,0,0,1049.144,10.939,31.495,10.678,0,0,,Total,R
2014,Australia,With leave entitlements,Other services,Mean earnings,Full-time,1210.6,5.898,30.662,5.946,0,0,1309.161,6.703,32.822,6.34,0,0,966.544,10.182,25.199,10.787,0,0,,Full-time,S
2014,Australia,With leave entitlements,Other services,Mean earnings,Part-time,607.371,12.386,26.597,11.233,0,0,743.019,32.526,28.499,32.144,0,0,562.853,15.57,25.973,14.537,0,0,,Part-time,S
2014,Australia,With leave entitlements,Other services,Mean earnings,Total,1132.281,5.571,30.131,5.356,0,0,1281.301,6.664,32.609,6.415,0,0,853.171,8.511,25.419,8.57,0,0,,Total,S
