_CODE_2021,Tot_P_P
20607,9243
20608,61
20609,168
20610,89
20611,285
20612,41
20613,2199
20614,1062
20615,305
20616,9179
20617,7
20618,146
20619,104
20620,620
20621,953
20622,23
20623,38
20624,3193
20625,94
20626,134
20627,308
20628,229
20629,30
20630,18
20631,311
20632,42
20633,220
20634,33
20635,10
20636,171
20637,88
20638,131
20639,1181
20640,15497
20641,27
20642,43
20643,94
20644,1108
20645,161
20646,358
20647,17
20648,1352
20649,119
20650,50
20651,53
20652,70
20653,20
20654,609
20655,0
20656,33
20657,6593
20658,34
20659,389
20660,62
20661,65178
20662,21281
20663,24679
20664,24683
20665,3241
20666,19969
20667,34
20668,39
20669,162
20670,2158
20671,176
20672,3279
20673,55
20674,3343
20675,0
20676,5
20677,27
20678,235
20679,161
20680,72
20681,70
20682,28608
20683,4839
20684,8092
20685,4759
20686,15
20687,311
20688,254
20689,86
20690,31
20691,36
20692,81
20693,15
20694,10
20695,25
20696,125
20697,4175
20698,20
20699,69
20700,398
20701,403
20702,6762
20703,142
20704,57
20705,0
20706,843
20707,30127
20708,22550
20709,125
20710,8
20711,105
20712,9190
20713,46
20714,84
20715,759
20716,402
20717,12
20718,299
20719,130
20720,40
20721,2781
20722,132
20723,368
20724,654
20725,12
20726,198
20727,210
20728,2101
20729,18145
20730,5408
20731,8077
20732,13
20733,37
20734,41
20735,19
20736,453
20737,1994
20738,148
20739,0
20740,18
20741,664
20742,57
20743,8651
20744,99
20745,386
20746,208
20747,14
20748,1551
20749,352
20750,151
20751,369
20752,12503
20753,122
20754,5669
20755,78
20756,1635
20757,195
20758,10495
20759,99
20760,128
20761,148
20762,344
20763,33
20764,106
20765,59
20766,15495
20767,13
20768,61
20769,586
20770,1472
20771,25020
20772,30926
20773,2100
20774,12644
20775,13
20776,250
20777,333
20778,51
20779,27122
20780,21
20781,0
20782,74
20783,9603
20784,77
20785,28
20786,101
20787,46
20788,6626
20789,19
20790,15287
20791,177
20792,343
20793,361
20794,41
20795,160
20796,571
20797,42
20798,294
20799,203
20800,119
20801,41
20802,4976
20803,47
20804,455
20805,90
20806,18
20807,83
20808,52
20809,688
20810,36
20811,15
20812,259
20813,899
20814,70
20815,12
20816,408
20817,60
20818,32
20819,0
20820,91
20821,23
20822,1306
20823,5538
20824,13
20825,3960
20826,82
20827,1352
20828,2246
20829,4012
20830,4896
20831,210
20832,66
20833,906
20834,47
20835,13
20836,2855
20837,110
20838,15056
20839,577
20840,442
20841,222
20842,113
20843,1194
20844,937
20845,103
20846,60
20847,109
20848,6276
20849,206
20850,944
20851,232
20852,382
20853,39
20854,57
20855,118
20856,0
20857,206
20858,157
20859,3260
20860,229
20861,185
20862,847
20863,633
20864,10887
20865,18847
20866,6830
20867,15153
20868,5890
20869,37
20870,376
20871,24455
20872,574
20873,23
20874,3
20875,155
20876,29
20877,746
20878,33489
20879,5014
20880,90
20881,184
20882,0
20883,238
20884,17
20885,21240
20886,13
20887,3071
20888,1559
20889,2285
20890,43
20891,633
20892,3508
20893,239
20894,147
20895,14
20896,193
20897,154
20898,133
20899,2838
20900,52
20901,6535
20902,390
20903,14
20904,93
20905,0
20906,326
20907,194
20908,82
20909,14274
20910,27
20911,13
20912,125
20913,194
20914,48
20915,32
20916,0
20917,27398
20918,1524
20919,28
20920,637
20921,858
20922,11
20923,18
20924,10431
20925,12781
20926,104
20927,97
20928,0
20929,7025
20930,1130
20931,3989
20932,790
20933,188
20934,12
20935,17131
20936,158
20937,10780
20938,346
20939,257
20940,2044
20941,152
20942,57
20943,31
20944,169
20945,25
20946,71
20947,37331
20948,5711
20949,18801
20950,9097
20951,136
20952,141
20953,7
20954,454
20955,232
20956,994
20957,11
20958,65
20959,47
20960,1206
20961,3
20962,61
20963,110
20964,156
20965,1019
20966,2114
20967,236
20968,131
20969,248
20970,0
20971,35
20972,42
20973,5811
20974,7345
20975,23
20976,230
20977,19
20978,43
20979,2559
20980,66
20981,0
20982,75
20983,11
20984,65
20985,112
20986,17
20987,0
20988,31
20989,391
20990,132
20991,64
20992,73
20993,72
20994,23
20995,62
20996,45
20997,0
20998,31
20999,563
21000,143
21001,10142
21002,854
21003,32
21004,8213
21005,423
21006,182
21007,59
21008,118
21009,4905
21010,26131
21011,110
21012,23
21013,42642
21014,4
21015,33
21016,48
21017,21
21018,208
21019,30
21020,443
21021,49
21022,12
21023,0
21024,131
21025,1113
21026,215
21027,155
21028,15
21029,66
21030,17
21031,23
21032,71
21033,11
21034,29
21035,7
21036,14
21037,17
21038,431
21039,279
21040,75
21041,131
21042,63
21043,123
21044,13
21045,1049
21046,75
21047,23792
21048,256
21049,21
21050,297
21051,120
21052,45
21053,102
21054,356
21055,213
21056,2217
21057,102
21058,9220
21059,253
21060,37
21061,6
21062,50
21063,91
21064,137
21065,31
21066,141
21067,62
21068,269
21069,718
21070,19
21071,236
21072,237
21073,1393
21074,324
21075,295
21076,35
21077,328
21078,90
21079,2971
21080,8
21081,18
21082,23
21083,45
21084,685
21085,0
21086,10
21087,132
21088,261
21089,1168
21090,88
21091,54
21092,385
21093,0
21094,60
21095,10
21096,13
21097,19
21098,425
21099,13
21100,71
21101,623
21102,60
21103,52
21104,21070
21105,21274
21106,58
21107,113
21108,86
21109,131
21110,157
21111,4
21112,44
21113,61
21114,14869
21115,966
21116,330
21117,578
21118,208
21119,0
21120,20
21121,388
21122,60
21123,1276
21124,6269
21125,11355
21126,136
21127,495
21128,157
21129,10346
21130,6518
21131,13518
21132,5069
21133,26082
21134,155
21135,87
21136,75
21137,1038
21138,291
21139,1011
21140,12463
21141,62
21142,488
21143,184
21144,167
21145,10369
21146,27
21147,83
21148,1443
21149,22
21150,311
21151,6
21152,22322
21153,14834
21154,55
21155,189
21156,1552
21157,289
21158,7589
21159,189
21160,2962
