_CODE_2021,Tot_P_P
22657,94
22658,0
22659,11
22660,12
22661,15004
22662,42
22663,1515
22664,28
22665,262
22666,157
22667,171
22668,191
22669,2195
22670,67
22671,522
22672,408
22673,3132
22674,41
22675,96
22676,1477
22677,0
22678,217
22679,8
22680,19214
22681,550
22682,11
22683,237
22684,124
22685,14237
22686,20754
22687,314
22688,48
22689,2020
22690,72
22691,53
22692,31
22693,146
22694,13
22695,565
22696,42
22697,2359
22698,19856
22699,280
22700,33
22701,68
22702,5541
22703,671
22704,4820
22705,50
22706,144
22707,721
22708,16
22709,204
22710,31308
22711,46
22712,77
22713,88
22714,124
22715,29
22716,43
22717,217
22718,12
22719,122
22720,2422
22721,5352
22722,3799
22723,58
22724,250
22725,0
22726,104
22727,1911
22728,11
22729,308
22730,4956
22731,20
22732,52
22733,951
22734,20
22735,31
22736,15
22737,62
22738,121
22739,41
22740,4348
22741,144
22742,210
22743,361
22744,128
22745,10376
22746,95
22747,0
22748,66
22749,43
22750,50027
22751,2392
22752,97
22753,1052
22754,378
22755,113
22756,11729
22757,8025
22758,14794
22759,163
22760,27
22761,6502
22762,62
22763,130
22764,483
22765,252
22766,20652
22767,18
22768,25
22769,3620
22770,347
22771,30
22772,220
22773,37
22774,3990
22775,6117
22776,25
22777,383
22778,92
22779,64
22780,45
22781,123
22782,192
22783,78
22784,244
22785,28
22786,35
22787,53
22788,439
22789,33
22790,17
22791,9448
22792,14407
22793,1622
22794,654
22795,241
22796,10
22797,77
22798,146
22799,88
22800,16
22801,421
22802,2456
22803,171
22804,96
22805,7273
22806,4
22807,26
22808,18
22809,0
22810,8
22811,14
22812,127
22813,436
22814,3440
22815,103
22816,8
22817,3
22818,177
22819,20259
22820,24407
22821,26
22822,49
22823,196
22824,44
22825,3843
22826,47
22827,0
22828,0
22829,5215
22830,114
22831,39
22832,91
22833,6732
22834,315
22835,62
22836,436
22837,52
22838,34
22839,126
22840,33
22841,374
22842,114
22843,150
22844,36
22845,45
22846,556
22847,55
22848,245
22849,0
22850,13
22851,364
22852,191
22853,342
22854,43
22855,48
22856,91
22857,2964
22858,262
22859,94
22860,404
22861,160
22862,26
22863,12
22864,32
22865,0
22866,0
22867,0
22868,0
22869,86
22870,18
22871,12
22872,0
22873,326
22874,147
22875,1177
22876,1940
22877,610
22878,6
22879,29
22880,18
22881,67
22882,40
22883,20518
22884,278
22885,106
22886,75
22887,104
22888,32
22889,2008
22890,222
22891,13
22892,4161
22893,143
22894,1511
22895,0
22896,284
22897,109
22898,246
22899,69
22900,283
22901,45
22902,181
22903,44
22904,113
22905,0
22906,272
22907,272
22908,194
22909,63
22910,3012
22911,2875
22912,17
22913,1893
22914,204
22915,2136
22916,1602
22917,15636
22918,78
22919,8661
22920,15
22921,551
22922,35
22923,5
22924,1789
22925,582
22926,325
22927,320
22928,124
22929,107
22930,138
22931,34
22932,11
22933,93
22934,1021
22935,675
22936,0
22937,56
22938,34
22939,128
22940,52
22941,123
22942,49
22943,147
22944,0
29494,9089
29797,38
